,RequiredQual,Eligibility,Title,JobDescription,JobRequirment
6112,Higher education in a relevant field; Proficiency in Visual Basic 6.0 and Microsoft SQL Server 2000;  Minimum 2 years of professional work experience; Good knowledge of English language;  Good organizational and analytical skills; Innovative and conceptual thinking.,,Programmer,"The incumbent will be responsible for design and
development of database.",
6170,Over 3 years of work experience in software development; Excellent OOP skills; Excellent skills in C++ (Visual C++ is preferred); Excellent skills in C#/.NET; Knowledge of COM/DCOM a plus; Excellent knowledge of Microsoft SQL Server is a plus; Knowledge of MAPI/Extended MAPI is a plus.,"The ideal candidate for this position is
a mid-career professional who has between 3-5 years of real experience in
software development.",Software Developer,"LinkGard Systems LLC is seeking Software Engineers
that will participate in the design and development of several Linkgard
products. The company needs ethical, energetic, and highly motivated
individuals with full software development life-cycle experience.","- Participate in Object Oriented Analysis/ Design;
- Write software based on specifications/ design;
- Write unit tests."
6172,"At least 2 years of work experience as a Software Developer in PHP; Experience in Web development; Excellent knowledge of AJAX, XHTML, CSS, JavaScript; Database knowledge with MySQL; Knowledge of ASP.Net and C# is preferred; Excellent knowledge of English language.",All qualified candidates,Web Developer,"Boomerang Software LLC is looking for Web Developers
to be engaged in different long term projects.",Develop Web application with PHP.
6228,"Bachelors or higher degree in Computer Sciences or a related discipline with at least 2 years of work experience in software development; 2 years of work experience in required fields; Good knowledge of Java, JSP, HTML, JavaScript, AJAX, MySQL; Work experience with client/server applications; Good English language skills; Knowledge of J2EE and JavaScript packages like Active Widget and Google Map is highly desired.",,Java Developer,"NairiSoft Inc. Armenia is looking for a highly
qualified person with deep knowledge and practical experience in Java
programming. The selected candidate will be involved in all stages of
the development life cycle.","- Develop web applications in accordance with given specifications;
- Assure full conformance of source codes to provided Coding Standards;
- Read, understand and modify the existing code;
- Work as part of a software development team;
- Communicate with management and team members effectively."
6246,"Bachelor's degree in Computer Sciences or a related field; Over 3 years of web applications development; Experience in designing and delivering complex web applications using PHP; Experience in XML, XLS, HTML, DHTML, CSS and JavaScript; Experience in PHP and MySQL; Strong understanding of OO programming concept; Experience in administering Linux, Apache, MySQL is a plus; Knowledge of AJAX is a plus; Knowledge of Typo3, Drupal and other open source CMSs is a plus; Good knowledge of English language is desired (writing English skills are obligatory).",,Software Engineer,"EctoStar Inc. is looking for consultants to become
part of its extended web applications development team. Candidates
should be willing to work independently from home or personal office.
Candidates will be asked to take online tests.","- Design and develop web applications either from scratch or based on
open source products;
- Provide technical support to production systems;
- Work with Project Managers, Quality Engineers, Systems Analysts and
other team members;
- Work as part of a distributed software development team;
- Read, understand and modify the existing code;
- Provide technical documentation with deliverables."
6269,"Advanced knowledge of OOP and OOD; At least 4 years of work experience as a Software Developer in Java; Experience in Web development; Web Frameworks: Struts, JSP/Servlet, JSTL; Experience in the development of client-server applications, client and server Web application components; Knowledge in web services (Axis, Soap) is a plus; Database knowledge with MySQL and Oracle databases, DB2; Knowledge in SQL language; Knowledge in HTML, CSS, JavaScript, XML; Persistence Layer knowledge (OJB, Hibernate, JPA, Spring) is a plus; Excellent knowledge of English and German languages.",All qualified candidates,Java Developer,"Energize Global Services CJSC is looking for Java
Developers to be engaged in different long term projects.","- Develop Web application with Java;
- Develop high quality and clean code, apply proper language
constructions and use quality algorithms."
6310,"Higher education; Excellent knowledge of VB;  Good knowledge of Java Script;  Experience of management of My SQL and MS SQL databases; Good knowledge of AS3x, AS4x; COM technologies; WEB technologies; NET technologies; Good knowledge of MS Windows XP/2003SF platform; Ability to responsibly complete assigned tasks according to deadlines; Analytical thinking; Sense of responsibility and accuracy; Flexible and teamwork ability;  Fluency in Armenian and Russian languages; knowledge of technical and spoken English; At least two years of relevant work experience. Ethics: Unquestioned principles and behavior. Collaborative and responsible work habits.",,Senior Web Developer,,"- Design, develop, troubleshoot and debug software programs;
- Exercise judgment within broadly defined practices and policies in
selecting methods, techniques, and evaluation criteria for obtaining
results;
- Design and implement sophisticated algorithms to solve complex
problems; 
- Coordinate system changes/installation with outsourced organizations;
- Develop software applications for the bank;
- Provide engineering of software related solutions for various
operational needs;
- Control the process of the development of new and the revision of
already existing functionality systems;
- Develop and maintain installation and configuration procedures;
- Repair and recover from software failures. Communicate with impacted
constituencies;
- Configure/add new services as necessary;
- Perform periodic performance and defect reporting to support capacity
planning."
6341,"Knowledge of UML architecture diagramming techniques; Minimum of 4 years of extensive development experience, and minimum of 4+ years with the following technologies: a) ASP.NET for building the new Control Panel; b) Pure C# code both on the middle tier and as part of the web UI layer of ASP.NET; c) IIS 6/ IIS 7 experience; d) MS SQL Server 2000, 2005 or 2008 experience; e) MSMQ Service; Familiarity with the .NET Framework, specifically the following packages: a) Messaging, threading, generic collections, custom controls and LINQ to SQL classes and also ADO.NET; Experience with technologies such as XML, HTML, Resin, MyEclipse, Ant, Junit, Subversion and related tools; Extensive programming experience with standard management and instrumentation API's; Ability to work independently as well as with other members in the group, preferably in a leadership role; Thorough understanding of software development processes and methodologies and knowledge of complete product development life cycle; Strong inter-personnel skills, ability to work both independently and as part of a global team and thrive on technical challenges; Excellent communication and writing skills, and experience in writing product specifications and technical documentation.",,Software Engineer,"Ogma Inc. is seeking a Senior Software Engineer
capable to analyze, design, develop, test and deliver the quality
software. The incumbent should be an experienced senior architect and
technical leader with in-depth knowledge of software development
processes. As a senior member of the team in Armenia, the incumbent will
be working closely with other developers and his/her peers in the US and
other teams around the globe.","- Work with the Senior Architect in the US to get aligned with product
roadmaps and assume a key role in the development of these products;
- Design, proto-type, develop, and thoroughly unit test before
submitting to QA;
- Write technical and functional specifications and present them to the
other team members, and occasionally to the management;
- Work with the Quality Assurance team to develop and maintain unit
tests based on product functional specifications."
6354,"At least 2 years of work experience as a Software Developer in PHP; Experience in Web development; Excellent knowledge of AJAX, XHTML, CSS, JavaScript; Experience in Yahoo! User Interface Library (YUI); Database knowledge with MySQL; ASP.Net and C# knowledge is preferred; Excellent knowledge of English language.",All qualified candidates,Web Developer,"Boomerang Software LLC is looking for Web Developers
to be engaged in different long term projects.",Develop Web application with PHP.
6401,"Higher education in relevant field; Knowledge MS Visual Basic, VBA, Borland Delphi; Knowledge of Database, particularly MS SQL, T-SQL, Paradox, MySQL; Knowledge of Web technologies, particularly HTML, PHP, AJAX; At least 2-year experience in a relevant field.",,Programmer,,"- Develop new bank software;
- Participate in improvement of acting software and bank programs;
- Carry out trainings with software users."
6414,"BS/MS in CS/EE; 5+ years of experience in software development; Good communication skills; Self-motivation; Experience in designing and developing software products; Ability to lead the project development; previous experience of working on critical projects; Formal training or test certification is a plus; Strong C++/ STL programming skills, experience in widely accepted methodologies such as OOP, OOD, etc.;  User knowledge of Linux, MS Windows is desirable; Strong knowledge of data structures and algorithms, their complexities; Mathematical background with an understanding of Computational Geometry, Graph Theory, Optimization Problems; Design/implementation specification writing skills; Knowledge and experience in Physical Design Automation, or related domains is preferred; Experience in designing EDA databases, solving tasks related to fast data access, storing and processing; Experience in working with cross-functional product development teams is preferred; Knowledge of Technical English (both verbal and written); It is preferred that the candidates for the Senior Software Engineer position fulfilled military obligation or educational waivers of military obligation.",Software developers,Software Engineer,"Senior Software Engineer will take part in design and
implementation of software products.","Design new algorithms or apply known ones to
solve practical tasks arising."
6416,"BS/MS in CS/EE; 3+ years of experience in software development; Good communication skills; Self-motivation; Experience in designing and developing software products; Formal training or test certification is a plus; Strong C++/ STL programming skills, experience in widely accepted methodologies such as OOP, OOD, etc.; User knowledge of Linux, MS Windows is desirable; Good knowledge of data structures and algorithms, their complexities; Mathematical background with an understanding of Computational Geometry, Graph Theory, Optimization Problems; Design/implementation specification writing skills; Knowledge and experience in Physical Design Automation, or related domains is preferred; Experience in designing EDA databases, solving tasks related to fast data access, storing and processing; Experience in working with cross-functional product development teams is preferred; Knowledge of Technical English (both verbal and written); It is preferred that the candidates for the Software Engineer position fulfilled military obligation or educational waivers of military obligation.",Software developers,Software Engineer,"Software Engineer will take part in design and
implementation of software products.","Design new algorithms or apply known ones to
solve practical tasks arising."
6422,"At least 5 years of work experience as a Software Developer; Excellent knowledge of Java and OOP; Excellent knowledge of Web development; Web Frameworks: Struts, JSP/Servlet, Java Server Faces; Persistence Layer: OJB, IBATIS, Hibernate; Integration Technologies: Spring Framework; Databases: Base knowledge with MySQL and Oracle databases; Excellent knowledge of SQL language (writing queries, creating databases, dumping, importing without a graphical user interface); Database Modeling skills; Good knowledge of (X)HTML, CSS, JavaScript, XML; Optional Technologies: Velocity, Jasper Reports, Facelets; Build Environment: Ant, Maven, Eclipse; Servers: Tomcat, Apache2 Webserver; OS: Linux (You can choose your distro), the company uses Ubuntu, Windows (is accepted but Linux is more required for the company); High Skills with Linux Operating System: System Administration, Writing Shell scripts etc.; Ability to work on project with a development team; Ability to lead a small development team would be a plus;  Problem solving skills; Good communication skills; Good English language skills.",,Java Developer,"The Virtual Solution Global Services LLC is seeking
for a motivated Senior Java Developer for Web based applications
development.","- Participate in application design; 
- Provide necessary technical and design documentation;
- Communicate effectively with local management and external team
members;
- Develop applications according to technical documentation; 
- Develop test cases;
- Install and configure necessary environment for the developed
applications. Provide support in web servers, databases and applications
maintenance."
6454,"Minimum 5 years of cumulative experience developing or testing commercial web-based application software with at least 2 years of experience testing system software; A strong technical background coupled with in-depth experience testing or developing software for Microsoft operating systems in a .NET framework and environment; Extensive background in QA methodologies and experience developing and executing comprehensive test suites for system software; Strong technical and programming/test automation skills; Ability to troubleshoot software/ hardware configuration problems; Demonstrated ability to handle/organize multiple complex technical projects simultaneously;  Ideal candidate will have strong analytical and troubleshooting skills, as well as excellent written and verbal communication skills; Must have strong inter-personnel skills, be able to work both independently and as part of the team and thrive on technical challenges.",,Software QA Engineer,"As a Senior Quality Assurance Engineer and QA leader
in Armenia, the incumbent will be responsible for creating, implementing
and automating testing across multiple components of LookWhosClicking,
the company's flagship product. He/she will design, document and
implement test plans for new projects, report and manage defects,
regress software fixes for new and existing products, assist development
with replicating and debugging problems and develop test automation
solutions as needed. In order to succeed in the team, the candidate must
have the passion and energy to work in an entrepreneurial environment. In
addition, the candidate must be an experienced senior architect and
technical leader with in-depth knowledge of software development
processes. The successful candidate will possess strong technical and
test automation skills; have experience testing enterprise-class system
software packages; and a working familiarity with Windows, Unix and
Linux.","- Design, develop and implement comprehensive QA test plans and test
cases, tools and infrastructure for assigned areas of the
LookWhosClicking software;
- Run regression tests and perform both white and black box testing
against releases of the product; 
- Perform all aspects of verification, including functional, structural,
regression, load and system testing;
- Document, troubleshoot and isolate problems encountered during
testing;
- Design, develop and implement complex test automation both at the
functional and system level;
- Work with other members of the global engineering team to improve the
company's processes, tools, methods, effectiveness and efficiency."
6488,"BS/MS in CS/EE; 5+ years of experience in software development; Good communication skills; Self-motivation; Experience in designing and developing software products; Ability to lead the project development; previous experience of working on critical projects; Formal training or test certification is a plus; Strong C++/ STL programming skills, experience in widely accepted methodologies such as OOP, OOD, etc.; User knowledge of Linux, MS Windows is desirable; Strong knowledge of data structures and algorithms, their complexities; Mathematical background with an understanding of Computational Geometry, Graph Theory, Optimization Problems; Design/implementation specification writing skills; Knowledge and experience in Physical Design Automation, or related domains is preferred; Experience in designing EDA databases, solving tasks related to fast data access, storing and processing; Experience in working with cross-functional product development teams is preferred; Knowledge of technical English (both verbal and written); It is preferred that the candidates for the Senior Software Engineer position fulfilled military obligation or educational waivers of military obligation.",Software developers,Software Engineer,"Senior Software Engineer will take part in design and
implementation of software products.",
6536,At least 2 years of work experience as a Software Developer in Banking and Accounting Systems; Experience of working with databases; Knowledge in Java is a plus; Knowledge in SAP is a plus; Excellent knowledge of English language;  Knowledge of German is a plus.,All qualified candidates,Programmer,"Energize Global Services CJSC is looking for a
Programmer to be engaged in different long term projects.",Develop banking reporting systems.
6574,"At least 2 years of work experience as a Software Developer in PHP; Experience in Web development; Excellent knowledge of AJAX, XHTML, CSS, JavaScript; Experience in Yahoo! User Interface Library (YUI); Database knowledge with MySQL; ASP.Net and C# is preferred; Excellent knowledge of English language.",All qualified candidates,PHP Developer,"Boomerang Software LLC is looking for Web Developers
to be engaged in different long term projects.",Develop Web application with PHP.
6578,"Knowledge of:  Large scale data and database design, implementation and management procedures; computer programming principles, techniques and procedures for administrative and business applications; Database recovery and backup techniques; performance monitoring, database optimization and index tuning; Management systems such as SQL Server 2000 and SQL Server 2005, Oracle, Structured Query Language; application development languages such as Visual Basic;  Report writing and query tools such as SQL Report Writer and Crystal Reports 10 or higher; Principles of relational database design, entity relationship diagrams, rules of normalization and unified modeling language development and administration; Extraction Transformation & Loading (ETL); Business Intelligent Tools (BI) for OLAP/MOLAP/ROLAP using tools such as Microsoft Analysis Services; Business Objects, and Cognos; Data Transformation Services (DTS); SQL Server Integration Services (SSIS); Monitoring tools; Data Warehousing, Stored Procedure optimization, SQL Server optimization, and Disk space optimization for performance (RAID and SAN); Microsoft Windows 2003 Server, Microsoft Clustering Services, and Storage Area Networks; AS Bank. 3.0 and 4.0.",All qualified candidates,Database Admin/Dev,"""FINCA"" UCO CJSC is looking for an Database
Administrator to manage and administer companys IT system providing
first line support to the staff.","- Coordinate physical changes to databases applying knowledge of
database management systems, using JDBC/ODBC to call database
procedures;
- Install, configure, administer and troubleshoot information systems
that incorporate Microsoft Back Office products including SQL Server
2000 and SQL Server 2005;
- Analyze programs, company IT policies, and operational needs;
- Analyze problems, identify alternative solutions, and implement
recommendations in support of district goals;
- Communicate clearly and concisely, both orally and in writing;
- Establish and maintain cooperative working relationships with those
contacted in the course of work."
6582,"At least 5 years of work experience as Software Developer; Excellent knowledge in Java and OOP; Excellent knowledge in Web development; Web Frameworks: Struts, JSP/Servlet, Java Server Faces; Persistence Layer: OJB, IBATIS, Hibernate; Integration Technologies: Spring Framework; Databases: Base knowledge with MySQL and Oracle databases; Excellent knowledge in SQL language (writing queries, creating databases, dumping, importing without a graphical user interface); Database Modeling skills; Good knowledge in (X)HTML, CSS, JavaScript, XML; Optional technologies: Velocity, Jasper Reports, Facelets; Build Environment: Ant, Maven, Eclipse; Servers: Tomcat, Apache2 Webserver; OS: Linux Ubuntu; High skills with Linux Operating System: system administration, writing Shell scripts etc.; Ability to work on project with a development team; Ability to lead a small development team would be a plus; Problem solving skills; Good communication skills; Good English language skills.",,Java Developer,"The Virtual Solution Global Services LLC is seeking
for a motivated Senior Java Developer for Web based applications
development.","- Participate in application design; 
- Provide necessary technical and design documentation;
- Communicate effectively with local management and external team
members;
- Develop applications according to technical documentation; 
- Develop test cases;
- Install and configure necessary environment for the developed
applications. Provide support in web servers, databases and applications
maintenance."
6593,"Excellent knowledge of JAVA, PHP, MySQL's SQL, JavaScript, DOM-API, XML; Work experience with Apache Web server, Unix/FreeBSD/Linux; Experience in UI design and front-end development will be an advantage; Source management with CVS will be an advantage; Work experience with Eclipse development environment will be an advantage; Willingness to learn new programming languages and technologies; Good knowledge of technical English language; Punctuality and accuracy in work, ability to work efficiently with minimal supervision; Motivated, energetic personality, flexible, willingness to increase competencies and professionalism; Creativity and team spirit.",Qualified candidates,Software Developer,"Armenian Datacom Company is looking for a talented
Software Developer.","- Develop software according to requirements;
- Take part in gathering requirements;
- Participate in planning and architecture development;
- Complete work according to deadlines."
6605,"Bachelors or higher degree in Computer Sciences or a related discipline with at least 4 years of work experience in software development; 3 years of work experience in .NET Framework ASP.NET/C#; Experience in development of Web Services; Expert knowledge of .NET Framework 3.5 and AJAX; Good knowledge of MS SQL Server/ MySQL; Multi-tier web applications development experience; Strong communication, problem solving and collaboration skills; Good knowledge of written and spoken English.",,Software Developer,"Metacortex is looking for an experienced full time
.Net Web Application Developer.","- Produce and maintain clean, high quality standard compliant website
applications;
- Develop codes that are cross-browser and cross-platform compatible;
- Maintain cutting edge knowledge of current and emerging technologies,
industry trends and standards."
6625,"Bachelors or higher degree in Computer Sciences or a related discipline with at least 2 years of work experience in software development; 2 years of work experience in required fields; Good knowledge of Java, JSP, HTML, JavaScript, AJAX, MySQL; Work experience with client/server applications; Good English language skills; Knowledge of J2EE and JavaScript packages like Active Widget and Google Map is highly desired.",,Java Developer,"NairiSoft Inc. Armenia is looking for a highly
qualified person with deep knowledge and practical experience in Java
programming. The selected candidate will be involved in all stages of
the development life cycle.","- Develop web applications in accordance with given specifications;
- Assure full conformance of source codes to provided Coding Standards;
- Read, understand and modify the existing code;
- Work as part of a software development team;
- Communicate with management and team members effectively."
6737,"At least 5 years of work experience as Software Developer; Excellent knowledge in Java and OOP; Excellent knowledge in Web development; Web Frameworks: Struts, JSP/Servlet, Java Server Faces; Persistence Layer: OJB, IBATIS, Hibernate; Integration Technologies: Spring Framework; Databases: Base knowledge with MySQL and Oracle databases; Excellent knowledge in SQL language (writing queries, creating databases, dumping, importing without a graphical user interface); Database Modeling skills; Good knowledge in (X)HTML, CSS, JavaScript, XML; Optional technologies: Velocity, Jasper Reports, Facelets; Build Environment: Ant, Maven, Eclipse; Servers: Tomcat, Apache2 Webserver; OS: Linux Ubuntu; High skills with Linux Operating System: system administration, writing Shell scripts etc.; Ability to work on project with a development team; Ability to lead a small development team would be a plus; Problem solving skills; Good communication skills; Good English language skills.",,Java Developer,"The Virtual Solution Global Services LLC is seeking
for a motivated Senior Java Developer for Web based applications
development.","- Participate in application design; 
- Provide necessary technical and design documentation;
- Communicate effectively with local management and external team
members;
- Develop applications according to technical documentation; 
- Develop test cases;
- Install and configure necessary environment for the developed
applications. Provide support in web servers, databases and applications
maintenance."
6771,"University degree in appropriate field; Work experience in a software company for at least 3 years; Strong knowledge of programming techniques and software development process; Experience with Java, C++; Proven ability to work under pressure especially in distributed development environment.",,Software Engineer,"Integrien International Inc. Yerevan Branch is seeking
for a highly experienced Software Development Professional to join the
engineering team in Yerevan.","- Deliver robust, scalable, quality software products on time;
- Execute multiple projects at one time through all phases of the
projects development;
- Plan, process and perform all jobs in an efficient manner with no
assistance from the supervisor."
6773,"BS/MS in CS/EE; 3+ years of experience in software development; Good communication skills; Self-motivation; Experience in designing and developing software products; Formal training or test certification is a plus; Strong C++/ STL programming skills, experience in widely accepted methodologies such as OOP, OOD, etc.; User knowledge of Linux, MS Windows is desirable; Good knowledge of data structures and algorithms, their complexities; Mathematical background with an understanding of Computational Geometry, Graph Theory, Optimization problems; Design/implementation specification writing skills; Knowledge and experience in Physical Design Automation, or related domains is preferred; Experience in designing EDA databases, solving tasks related to fast data access, storing and processing; Experience in working with cross-functional product development teams is preferred; Knowledge of technical English (both verbal and written); It is preferred that the candidates for the Software Engineer position fulfilled military obligation or educational waivers of military obligation.",Software developers,Software Engineer,"Software Engineer will take part in design and
implementation of software products.",
6838,"At least 2 years of work experience in .NET Framework; Excellent knowledge of CSS, JavaScript; Strong experience in PHP; Database knowledge with MySQL; Experience in Yahoo! User Interface Library (YUI) will be an asset; Excellent knowledge of English language.",All qualified candidates,Software Developer,"Boomerang Software LLC is looking for Software
Developers to be engaged in different long term multi-technology
projects.","Develop applications with C#, PHP/MySQL."
6845,"At least 5 years of work experience as Software Developer; Excellent knowledge in Java and OOP; Excellent knowledge in Web development; Web Frameworks: Struts, JSP/Servlet, Java Server Faces; Persistence Layer: OJB, IBATIS, Hibernate; Integration Technologies: Spring Framework; Databases: Base knowledge with MySQL and Oracle databases; Excellent knowledge in SQL language (writing queries, creating databases, dumping, importing without a graphical user interface); Database Modeling skills; Good knowledge in (X)HTML, CSS, JavaScript, XML; Optional technologies: Velocity, Jasper Reports, Facelets; Build Environment: Ant, Maven, Eclipse; Servers: Tomcat, Apache2 Webserver; OS: Linux Ubuntu; High skills with Linux Operating System: system administration, writing Shell scripts etc.; Ability to work on project with a development team; Ability to lead a small development team would be a plus; Problem solving skills; Good communication skills; Good English language skills.",,Java Developer,"The Virtual Solution Global Services LLC is seeking
for a motivated Senior Java Developer for Web based applications
development.","- Participate in application design; 
- Provide necessary technical and design documentation;
- Communicate effectively with local management and external team
members;
- Develop applications according to technical documentation; 
- Develop test cases;
- Install and configure necessary environment for the developed
applications. Provide support in web servers, databases and applications
maintenance."
6860,"University degree in the field of computer science with a minimum of 4+ years direct experience in commercial development; Experience of creating scalable and redundant J2EE applications; Knowledge of and experience working with Java, J2EE application server, software analysis, development/integration and implementation in J2EE; Knowledge of and experience working with MySQL databases, Java, J2EE application server, SQL development environments, software analysis, development/integration and implementation in J2EE, understanding of database principles and experience with SQL; Extensive documentation and design of technical solutions design experience; Strong business analysis and project management skills; Excellent analytical and communication skills; Excellent knowledge of the English language.",,Software Engineer,"In this role the incumbent will help develop, provide
excellent solutions for various projects, using the latest technologies
and according to the highest development standards based on best
practices and design patterns.","- Be responsible for detailed review of product management
specifications and definition of technical requirements from business
requirements;
- Deliver high quality code using best-practice software development
methodologies;
- Define and maintain system design documentation writing and maintain
system design documents;
- Design solution and implementation of the critical parts;
- Be responsible for documentation of architecture, data flow and
management processes for all projects;
- Be responsible for unit testing of functional components;
- Be responsible for detailed review of product management
specifications;
- Support QA in preparation of qualitative and complete testing;
- Involve operations team with architectural issues and monitoring
requirements;
- Be responsible for project management and implementation planning;
- Design solution and implementation of the critical parts.
The company's Senior Developers take ownership for the long term
viability of the company's product, with specific responsibility to:
- Design and implement scalable and redundant solutions;
- Support and mentor all team members and mentor junior developers;
- Effectively communicate with product and project management teams;
- Be responsible for document architecture, data flow and management
processes for all projects;
- Support QA in preparation of qualitative and complete testing;
- Involve operations team with architectural issues and monitoring
requirements;
- Work with QA and operations to ensure smooth deployments."
6863,"At least 2 years of work experience as a Software Developer in PHP; Experience in Web development; Excellent knowledge of AJAX, XHTML, CSS, JavaScript; Experience in Yahoo! User Interface Library (YUI);  Database knowledge with MySQL; Excellent knowledge of English language.",All qualified candidates,PHP Developer,"Boomerang Software LLC is looking for PHP Developers
to be engaged in different long term projects.",Develop Web applications with PHP.
6948,"Higher education in relevant field; Minimum 2 years of experience in a relevant field; Knowledge of programming languages C, C++, MS Visual Basic, VBA; Knowledge of MS SQL, T-SQL, PARADOX, MySQL databases; Good knowledge of English language; Ability to work with team, excellent communication skills.",,Programmer,,"- Develop new software as required by bank needs;
- Directly participate in improvement and processing of operating
software;
- Conduct explanatory works with the staff utilizing banking software."
7052,"University degree in Computer Sciences;    Minimum 1 year of work experience as a system or database administrator; Excellent knowledge and experience in Linux, Windows, WEB-servers; Database knowledge (Oracle, SQL Server); Experience in SQL, PL/SQL; Good knowledge of MS Office tools (Word, Excel, Access); Fluent in Armenian, Russian and English languages; Ability to participate and contribute as part of a team; Ability to perform an overloaded work within limited period of time.",,Database Admin/Dev,"Inecobank CJSC is seeking highly qualified Database
Administrator, who will be responsible for the continuous work of
Banking Systems.","- Plan and establish database backup and recovery procedures;
- Process database startup and shutdown procedures;
- Manage and monitor database security and access control;
- Maintain database and table space allocation, and forecast future
growth;
- Install database new releases and upgrades;
- Perform database fine tuning and optimize data access;
- Perform database analysis and capacity planning;
- Document database maintenance procedures;
- Manage users database accesses."
7098,"Higher education in relevant field; At least 2 years of work experience in web development; Knowledge of Web design is a plus; Strong knowledge of ASP.NET; Experience in C# programming language and deep understanding of .NET Framework (preferably 3.0 and higher); Fully competent and fluent with PHP5; Good knowledge and practical experience in the following fields: XHTML, CSS, JavaScript (ECMA Script), JSON and DOM; Knowledge of databases: MSSQL, Oracle, MySQL; Knowledge of MVC (model-view-controller) programming pattern; Experience with PEAR libraries: DB, HTML_QuickForm, etc.; Experience with Smarty template engine; Practical experience in AJAX; Practical experience in SOAP and XML-RPC; Skills in IIS (preferably 7) and Apache; Familiarity with UNIX/ Linux OS; Experience in Zend framework is a plus; Knowledge of WCF is a plus; Experience in Adobe Photoshop and Corel Draw is a plus; Organized, dynamic and responsible personality;  Ability to  work under pressure and within limited deadlines; Ability to work efficiently without supervision; Team working, strong problem-solving skills; Punctuality and accuracy in work.",,Software Developer,"The Software Developer will develop Web services and
Web Applications; design DB architecture for applications and develop
Windows Services on C# and program TCP/IP-based protocol applications.","- Ensure development of web applications;
- Ensure testing and documenting of developed applications;
- Support and monitor applications; administer development and
production environments;
- Design database architecture based on project requirements;
- Coordinate with direct supervisor, provide periodic reports."
7137,"Deep knowledge and skills in the UNIX/ LINUX; Practical experience in JAVA-based Web-applications, J2EE, JSP/ JSF, Eclipse/ JDeveloper; Knowledge of BEA WebLogic/ JBoss Application Server; Knowledge of Oracle Database, PL/ SQL; Experience in	UML, RUP, RAD or EXP;  Knowledge in SAO, EAI and Business Rules Management Systems is a plus; Desire to work in a challenging environment and to learn new technology skills; Good written and spoken English language; Strong communication skills.",,Java Developer,"Firmplace Corporation is currently looking for a
Senior Java Developer, preferably experienced with Oracle Fusion
development suite.","- Participate in development of new projects;
- Design and implement solutions according to business requirements;
- Participate in a variety of meetings with customers and team;
- Keep track of lessons learned and share those lessons with team
members."
7152,"Minimum 5-8 years of extensive development experience that includes: Strong .NET skills, specifically with C#; Strong HTML skills including CSS and Javascript; Strong working knowledge of databases, specifically SQL Server; Familiarity with AJAX and Web 2.0 technology; Familiarity with LINQ;  Good understanding of web development with multiple browsers in mind; Solid understanding of web services and interacting with web service based APIs; Ability to prepare crystal reports is a plus; Some familiarity with Linux is a plus; Some knowledge of Java is a plus; Knowledge of UML architecture diagramming techniques; Ability to work independently as well as with other members in the group, preferably in a leadership role; Ability to work on multiple projects at once; Thorough understanding of software development processes and methodologies and knowledge of complete product development life cycle, including agile development process; Strong inter-personnel skills; Ability to work both independently and as part of a global team and thrive on technical challenges; Excellent communication and writing skills, and experience in writing product specifications and technical documentation.",,Software Engineer,"The Senior Software Engineer must have the passion and
energy to work in an entrepreneurial, and fast paced environment. In
addition, the incumbent must be an experienced professional with
in-depth knowledge of software development in a web based environment.
Senior Software Engineer should have the ability to write technical and
functional specifications and present them to the other team members,
and occasionally to the management.","- Work with the Senior Architect and the Product manager to get aligned
with product roadmaps and assume a key role in the development of these
products;
- Design, proto-type, develop, and thoroughly unit test before
submitting to Quality Assurance;
- Work with the Quality Assurance team to develop and maintain unit
tests based on product functional specifications."
7178,"University degree in Computer Sciences; 4 years experience in Databases administration and supervision; Good knowledge of Database organization, design, backup, restore; Good knowledge of Oracle Database installation and tuning is a plus; Advanced knowledge of Russian and English languages.",All interested candidates,Database Admin/Dev,,"- Install and upgrade different databases (MSSQL, MySQL, Oracle);
- Perform data backups and recoveries; 
- Control user access to resources and information;
- Audit systems usage;
- Monitor and allocate storage space for data;
- Answer user questions;
- Develop and assist in the development of scripts and applications;
- Report on activity to the Team Leader."
7213,"Bachelor's degree in Computer Science or Applied Mathematics (Master's degree is preferred); 4+ years of hand-on experience in Java, J2EE, Design Patterns, OO concepts, Data structures and XML; Experience in the following Java frameworks: Struts, Spring and Hibernate; Experience in Database driven application development (Oracle is preferred) and SQL; Familiarity with HTML, CSS, JavaScript and AJAX development; Experience in application server administration (WebLogic is preferred), source code management (CVS is preferred) and release management; Good analytical and problem solving skills; Written communication skills in English language; Verbal communication skills in English language is a plus.",,Senior Web Developer,"The Company is looking for a full time Senior Software
Developer to work on the design and implementation of Java/J2EE based,
database driven web application.","- Develop software components that fit into layered application
framework, including user interface, business logic and back-end
service/ data access components;
- Participate in design discussions, code reviews and project related
team meetings;
- Work with other engineers, Product Management and QA teams to develop
innovative solutions that meet business needs with respect to
functionality, performance, scalability, reliability and realistic
implementation schedules."
